nrbits,toffoli_desc_conf,nr_qubits_output,depth_input,depth_output,process_time
4,lbbkch,25,37,142,5.3597339999999996
4,ibmmdm,23,37,112,3.321300000000001
4,fhmcii,23,37,137,4.817452999999999
4,fbglbd,30,37,223,6.651702
4,jhjlkf,23,37,139,4.670607
4,cnejjn,21,37,113,3.575333999999998
4,jllmfb,25,37,152,4.253031
4,gdbmcj,18,37,121,3.8836860000000044
4,ceighf,27,37,181,6.902453999999999
4,ibnkfl,28,37,155,5.319717000000004
4,gdejgm,22,37,162,5.699594000000005
4,fmdgeh,23,37,192,7.170579000000004
4,cknjkn,19,37,109,3.8455859999999973
4,mjdnfj,29,37,108,3.800444000000013
4,bflefj,20,37,138,5.096845999999999
4,iebkbf,25,37,186,6.060479000000001
4,fbkfni,21,37,166,5.618539000000013
4,klnjlj,25,37,103,3.33109300000001
4,ihnfdh,22,37,162,5.808690999999996
4,dfcmhm,21,37,151,4.771269000000004
4,kgjjkj,23,37,133,4.641315000000006
4,gijkdf,22,37,201,5.83262700000000
4,kdhmhb,29,37,191,6.918815000000009
4,ehflmb,26,37,159,5.967742999999999
4,hkflil,27,37,175,6.102616999999995
4,cljhgd,22,37,170,5.576356000000004
4,gdndmg,23,37,170,5.459125999999998
4,dmfdgj,22,37,132,4.931279999999987
4,bjbchm,23,37,111,3.8941190000000176
4,lbmkmf,32,37,181,6.156573000000009
4,jgjijh,24,37,127,3.8751620000000173
4,ncdjhb,28,37,127,3.7862289999999916
4,bcchlb,33,37,126,4.39539400000001
4,hnmigg,29,37,140,5.2583700000000135
4,chnbeh,38,37,187,5.966940999999991
4,nbiegg,26,37,176,5.984082000000001
4,fimkgc,19,37,157,5.404112999999995
4,jeehmf,28,37,180,6.217793
4,mhnbff,29,37,171,5.925110000000018
4,jggihj,28,37,157,4.939551000000023
4,jgccff,29,37,178,6.129826000000008
4,kghfbb,27,37,223,8.346574000000004
4,glbehn,29,37,157,6.512804999999986
4,nkndnc,25,37,121,4.079157000000009
4,ihchbj,31,37,192,5.574051999999995
4,cnkdnl,24,37,173,4.5780129999999986
4,dlhbcb,25,37,169,5.3618999999999915
4,bliffc,25,37,132,4.816163999999986
4,jhfkfn,23,37,197,7.059648999999979
4,ididdd,18,37,159,4.20988200000005
4,lfkefl,24,37,202,7.840103999999997
4,hlbfkk,23,37,140,5.774360999999999
4,lgckki,26,37,180,6.326249000000018
4,nbkeic,28,37,140,4.571398000000045
4,jfebcn,26,37,175,4.830176999999992
4,fgllni,21,37,182,5.083416
4,fejcic,30,37,151,5.340810999999974
4,cilkij,26,37,123,3.7104569999999626
4,ngjmjn,25,37,120,4.149775999999974
4,kdjfcf,32,37,164,6.10432099999997
4,dndnnf,23,37,147,4.518701000000021
4,kkknjg,29,37,170,6.059931000000006
4,gnlkgc,27,37,158,5.485724000000005
4,ibjkkf,26,37,124,4.873501999999974
4,bijfgm,28,37,142,4.192058999999972
4,nknhln,23,37,163,4.7523049999999785
4,gdkhbj,24,37,125,5.217754999999954
4,dbkmhi,29,37,155,4.915940999999975
4,knjehg,30,37,180,6.5876669999999535
4,nnljdf,24,37,142,4.117481999999995
4,fhiihe,19,37,207,6.359487999999999
4,ldfimd,27,37,161,5.773144000000002
4,gmdced,31,37,155,6.053852000000006
4,fhmjhb,22,37,199,6.654510000000016
4,dincel,26,37,151,4.201077999999995
4,jchbnf,25,37,152,5.290737999999976
4,ncihjl,23,37,112,3.7839069999999992
4,bbgbfg,20,37,156,5.467184000000032
4,idcbij,22,37,86,3.2977599999999825
4,flncde,21,37,115,5.382689000000028
4,djhdlk,22,37,145,4.92121400000002
4,memedm,24,37,118,4.802212999999995
4,mkgmbm,21,37,158,4.903031999999996
4,lmjjfb,21,37,111,3.796969000000047
4,gknbkm,21,37,142,5.108007000000043
4,bihgln,28,37,148,5.131432000000018
4,ibhbgg,24,37,151,4.8734380000000215
4,nmbfkm,19,37,148,4.827137999999991
4,bimjmj,19,37,72,3.2659499999999753
4,fjmihj,22,37,102,4.744374999999991
4,hccffh,29,37,210,7.44932799999998
4,kfdffl,24,37,207,8.23387200000002
4,kmjiii,25,37,100,3.6341340000000173
4,iffdmk,24,37,162,6.634364000000005
4,iihdlj,21,37,105,3.9354430000000207
4,ldkmcm,22,37,135,4.470897000000036
4,bknnce,23,37,142,4.345915999999988
4,bjegdd,21,37,161,4.955028999999968
4,hnlmmh,20,37,146,4.7025710000000345
