nrbits,toffoli_desc_conf,nr_qubits_output,depth_input,depth_output,process_time
4,8813853132,16,37,198,6.763619
4,6222512133,19,37,213,6.405569999999999
4,74121214555,21,37,237,7.732018
4,56210914512,19,37,186,5.602537999999999
4,368763142,22,37,235,7.308940999999997
4,293614948,19,37,181,5.006183
4,136388141214,19,37,218,6.8328890000000015
4,414356575,24,37,235,8.345317999999999
4,38741414412,20,37,225,6.861491000000001
4,713292844,20,37,203,6.392863999999996
4,8101471011610,26,37,180,5.504308999999992
4,7614115999,17,37,191,6.8184069999999934
4,12313562912,16,37,195,5.458231999999995
4,1213141155144,16,37,195,6.00135800000001
4,6832312510,23,37,196,7.210825
4,2101061231112,19,37,160,4.961570999999992
4,3107128131411,18,37,182,5.187291000000002
4,21221461264,19,37,201,6.492661999999996
4,4365512712,22,37,221,8.888745
4,131041481268,15,37,184,4.870401999999999
4,12132349138,18,37,173,4.771305999999981
4,13121363101114,18,37,169,4.341708000000011
4,584551054,18,37,193,7.478087000000016
4,1138103642,20,37,192,6.025295
4,8103564114,20,37,232,8.218803000000008
4,651079458,22,37,247,9.729666000000009
4,14981066913,17,37,195,6.032125000000008
4,331114811134,24,37,215,7.601157000000001
4,1331399121313,14,37,159,3.9840650000000153
4,12631337212,28,37,246,8.072791999999993
4,71113142121213,21,37,210,6.00643500000001
4,9141191013119,19,37,144,4.074121000000019
4,9913106838,18,37,181,5.528573999999992
4,7131041211118,19,37,221,7.208401000000009
4,3687131332,21,37,245,8.129896000000002
4,91192113313,20,37,181,4.732984999999985
4,1114811881213,25,37,250,9.308482999999995
4,61257661010,15,37,197,8.097604999999987
4,911134514413,21,37,196,5.532665000000009
4,134814591210,20,37,182,4.409500000000037
4,78512412106,15,37,201,7.1046159999999645
4,142224677,18,37,223,6.146401000000026
4,391412146108,17,37,173,3.9953709999999774
4,1210119812105,24,37,168,5.243246999999997
4,13141212114119,17,37,161,4.414630999999986
4,581441014811,17,37,176,5.590015999999991
4,72511412311,23,37,237,10.251919000000044
4,1012117710513,22,37,193,6.4001480000000015
4,121347610142,17,37,176,4.986616999999967
4,3810214264,22,37,185,6.002626000000021
4,51281089106,27,37,196,7.45702
4,7145313683,25,37,243,8.335377999999992
4,149108211146,18,37,190,5.367490999999973
4,4891310249,17,37,176,4.6545150000000035
4,454562143,16,37,203,6.532066999999984
4,61188108612,20,37,251,11.261979999999994
4,10291028312,24,37,155,4.132043999999951
4,311128135810,21,37,198,7.090027999999961
4,9142867145,18,37,198,6.1553499999999985
4,141188143711,28,37,237,10.007023000000004
4,13241427143,22,37,201,4.7826559999999745
4,1311281413613,16,37,203,6.413698000000011
4,4676141483,25,37,237,9.272417000000019
4,56138129813,18,37,223,9.25597399999998
4,314114913145,17,37,157,4.206492999999966
4,149118251010,20,37,158,4.371219999999994
4,5851439113,17,37,227,8.326517999999965
4,3124913735,24,37,194,5.440628000000004
4,6711461479,21,37,237,10.772918000000004
4,113741310612,18,37,201,7.449315000000013
4,9145322613,20,37,172,5.077575000000024
4,4355118411,23,37,217,8.273983000000044
4,1147441474,26,37,209,7.667835000000025
4,7543210711,18,37,206,7.595261999999991
4,5510238137,17,37,197,5.9723769999999945
4,971213122136,19,37,180,5.246494000000041
4,654111014142,19,37,206,5.843623999999977
